stock_id,credito,vin,estado,sub_estado,producto,proveedor,cosecha,lat,long,fecha
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262542,-99.546733,01-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,24.856117,-99.545002,02-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.478948,-99.137415,03-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.4422900,-99.1242900,04-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.3673700,-99.5638100,05-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.5397300,-99.2008700,06-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,25.6345400,-103.3793800,07-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.5987800,-99.0522800,08-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.330073,-99.027,09-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262512,-99.546722,10-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262512,-99.546722,11-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262512,-99.546722,12-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262215,-99.5467,13-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.26257,-99.546752,14-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.26257,-99.546752,15-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262552,-99.54675,16-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262552,-99.546742,17-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.26256,-99.546748,18-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.26256,-99.546748,19-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262218,-99.546707,20-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262592,-99.546745,21-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262592,-99.546745,22-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262572,-99.546717,23-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262582,-99.546722,24-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262538,-99.546753,25-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.26257,-99.546738,26-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262543,-99.546778,27-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262538,-99.546702,28-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262577,-99.546728,29-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262573,-99.54673,30-01-2024
125070,MEX532601JT035752,mex532601jt035752,,,,ituran,202201,19.262562,-99.54673,31-01-2024
147110,3G1J85CC9GS596883,3g1j85cc9gs596883,,,,tracker,202201,19.306670,-99.714640,01-01-2024
